tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	img_url_asset
tt0097362	short	The First Emperor of China	The First Emperor of China	0	1990	\N	42	Documentary,Short	https://image.tmdb.org/t/p/{width_variable}/5yQfgwPYCazfLhLoXpxsx0YYlFt.jpg
tt0097436	short	Gisèle Kérozène	Gisèle Kérozène	0	1990	\N	5	Action,Comedy,Fantasy	https://image.tmdb.org/t/p/{width_variable}/9XrFxCaBwyOxlP9sbFU2nZbiPyZ.jpg
tt0097509	short	The Hill Farm	The Hill Farm	0	1992	\N	18	Animation,Short	https://image.tmdb.org/t/p/{width_variable}/2DeO5VwMoHCZ5lUIQwAlJp3e7Fx.jpg
tt0097558	short	Ident	Ident	0	1990	\N	5	Animation,Short	https://image.tmdb.org/t/p/{width_variable}/9RzNNJxAuHGrAf4kw35lZ1Ry5mM.jpg
tt0097966	short	Next	Next	0	1990	\N	5	Animation,Short	https://image.tmdb.org/t/p/{width_variable}/hlei6WySTYX1KuUHQ7RDCtWurx7.jpg
tt0097970	short	Night Cries: A Rural Tragedy	Night Cries: A Rural Tragedy	0	1990	\N	19	Drama,Short	https://image.tmdb.org/t/p/{width_variable}/xtduPHL6hRlR9VEsj6EY2Ua16vr.jpg
tt0098182	short	Rejsen mod en fødsel	Rejsen mod en fødsel	0	1990	\N	8	Animation,Short	\N
tt0098267	short	Schwarzbunt Märchen	Schwarzbunt Märchen	0	1990	\N	11	Short	\N
tt0098392	short	Der Strandpirat	Der Strandpirat	0	1990	\N	14	Short	\N
tt0098634	short	Western	Western	0	1990	\N	2	Animation,Short,Western	\N
tt0098962	short	12:01 PM	12:01 PM	0	1991	\N	25	Sci-Fi,Short,Thriller	https://image.tmdb.org/t/p/{width_variable}/sBWKO6xnzAxnXCup7JENu15ZIoV.jpg
tt0098985	short	The Addict	The Addict	0	1990	\N	\N	Short	\N
tt0098997	short	L'âge de plastic	L'âge de plastic	0	1990	\N	31	Short	\N
tt0099006	short	The Air Globes	The Air Globes	0	1990	\N	\N	Short	\N
tt0099023	short	Les amateurs	Les amateurs	0	1990	\N	26	Documentary,Short	\N
tt0099035	short	An der Grenze	An der Grenze	0	1991	\N	19	Short	\N
tt0099058	short	Armenia	Armenia	0	1990	\N	11	Short	\N
tt0099060	short	Arrivederci Roma	Arrivederci Roma	0	1990	\N	26	Romance,Short	\N
tt0099096	short	Baito	Baito	0	1990	\N	\N	Short	\N
tt0099102	short	Band söker basist	Band söker basist	0	1990	\N	14	Comedy,Music,Short	\N
tt0099105	short	Barbie Digs Joe	Barbie Digs Joe	0	1990	\N	\N	Short	\N
tt0099115	short	Die Beichte	Die Beichte	0	1990	\N	11	Animation,Short	https://image.tmdb.org/t/p/{width_variable}/ui9yFovcSvj67D2WC9dxrJHfXBR.jpg
tt0099147	short	Blaubart	Blaubart	0	1990	\N	15	Short	\N
tt0099158	short	Blue Planet	Blue Planet	0	1990	\N	42	Documentary,Short	https://image.tmdb.org/t/p/{width_variable}/1G33v3homFEZoPzjSxPalnhCE0g.jpg
tt0015414	movie	La tierra de los toros	La tierra de los toros	0	2000	\N	60	\N	https://image.tmdb.org/t/p/{width_variable}/hIPPcKfGfmr435bLWICRxPSfiDR.jpg
tt0015724	movie	Dama de noche	Dama de noche	0	1993	\N	102	Drama,Mystery,Romance	https://image.tmdb.org/t/p/{width_variable}/zCmyAl7VG6aZJqWZ7PFfj9e6ToU.jpg
tt0038086	movie	Shiva und die Galgenblume	Shiva und die Galgenblume	0	1993	\N	\N	Thriller	\N
tt0059325	movie	Born in '45	Jahrgang 45	0	1990	\N	100	Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/dzi12DaoPcCrE6mCMLggtbqTZYV.jpg
tt0059900	movie	Wenn du groß bist, lieber Adam	Wenn du groß bist, lieber Adam	0	1990	\N	78	Drama,Fantasy	https://image.tmdb.org/t/p/{width_variable}/nrVv0B2idMRwzQFlERPZspBFwZA.jpg
tt0065188	movie	Vojtech, receny sirotek	Vojtech, receny sirotek	0	1990	\N	80	Drama	https://image.tmdb.org/t/p/{width_variable}/r1FGlDacCdmDauQIbRne5aPV3Zn.jpg
tt0067460	movie	My Kingdom for...	My Kingdom For...	0	1995	\N	85	Documentary,Sport	\N
tt0068494	movie	Domo Arigato	Domo Arigato	0	1990	\N	91	Drama	https://image.tmdb.org/t/p/{width_variable}/84SX6npSGvfJPnmNVur7WV9dkam.jpg
tt0070501	movie	Little White Dove	Palomita blanca	0	1992	\N	125	Comedy,Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/dWwwtXoKFRq9Bky6fnbo2MIfNRH.jpg
tt0077432	movie	Bloody Hero	Dip huet kei bing	0	1991	\N	85	Action,Drama	https://image.tmdb.org/t/p/{width_variable}/vpECh5vvQeL53Ucs1UcwXybkmSN.jpg
tt0080039	movie	A Touch of the Sun	A Touch of the Sun	0	1996	\N	85	Comedy	https://image.tmdb.org/t/p/{width_variable}/etZnhwLevDOGjOzCiZG2lxZFNUj.jpg
tt0081008	movie	Kommen und gehen	Kommen und gehen	0	1994	\N	50	Documentary	\N
tt0081145	movie	Me and the Kid	Me and the Kid	0	1993	\N	94	Comedy,Crime,Drama	\N
tt0081436	movie	Rosa Heimat - eine Landillusion	Rosa Heimat - eine Landillusion	0	1990	\N	\N	\N	\N
tt0081721	movie	Vincent and Me	Vincent et moi	0	1990	\N	100	Drama,Family,Fantasy	https://image.tmdb.org/t/p/{width_variable}/4aZPLjmBXQMUwfr5a93k2z3aVvW.jpg
tt0083837	movie	The Dirty Area	The Dirty Area	0	1992	\N	\N	\N	\N
tt0084015	movie	Goodbye Paradise	Goodbye Paradise	0	1991	\N	101	Drama	https://image.tmdb.org/t/p/{width_variable}/hUjT0Hz4fzPIUqBkvR2Zhi3I5mC.jpg
tt0084551	movie	The Buddhist Spell	Pu ti you hun	0	1993	\N	91	Comedy,Drama,Fantasy	https://image.tmdb.org/t/p/{width_variable}/kvCCkvGdodXoxFCiNKasC6BLk9d.jpg
tt0084870	movie	Memories and Confessions	Visita ou Memórias e Confissões	0	1993	\N	73	Biography,History	https://image.tmdb.org/t/p/{width_variable}/1tMlCorBC5SRtQm5Nz6kakABH4.jpg
tt0088267	movie	An Eternal Combat	Tian di xuan men	0	1991	\N	90	Action,Comedy,Fantasy	https://image.tmdb.org/t/p/{width_variable}/5f5fEbNsh0vlUpx5w8A0b5rBLcT.jpg
tt0089043	movie	The Double Burden: Three Generations of Working Mothers	The Double Burden: Three Generations of Working Mothers	0	1992	\N	56	Documentary	\N
tt0090000	movie	Wet Sexes in the Sun	Sexos húmedos al sol	1	1995	\N	\N	Adult	\N
tt0090665	movie	Halfaouine: Boy of the Terraces	Asfour Stah	0	1990	\N	98	Comedy,Drama	https://image.tmdb.org/t/p/{width_variable}/14lvkOnU9dfDKp6PE2TFeCCzVU5.jpg
tt0090785	movie	Call Me Mr. Brown	Call Me Mr. Brown	0	1990	\N	94	Crime	https://image.tmdb.org/t/p/{width_variable}/qseL9xDNNJq0DAdBhoq4OZWgQr.jpg
tt0090869	movie	Comando terrorista	Comando terrorista	0	1990	\N	83	Action	\N
tt0091899	movie	The Scarlet Scorpion	O Escorpião Escarlate	0	1990	\N	90	Comedy	https://image.tmdb.org/t/p/{width_variable}/qvqyXbcqYoLMUtu4pPeT5i0WP7s.jpg
tt0092024	movie	El sueño de Tánger	El sueño de Tánger	0	1991	\N	88	Drama,Romance,Thriller	https://image.tmdb.org/t/p/{width_variable}/AoQHwDZeXFLWnNAKQfv0HsJjHHG.jpg
tt0092507	movie	Abhimanyu	Abhimanyu	0	1991	\N	140	Crime,Drama,Musical	https://image.tmdb.org/t/p/{width_variable}/maDMkUFxjxdGKVKqJkzmrvWVij2.jpg
tt0092589	movie	Astonished	Astonished	0	1990	\N	93	Mystery	https://image.tmdb.org/t/p/{width_variable}/Au9uv6dTpzv4OseQi5hR1fMkTxz.jpg
tt0092926	movie	Dragon Hunt	Dragon Hunt	0	1990	\N	90	Action	https://image.tmdb.org/t/p/{width_variable}/pmjwWH6i5BPFFlk36C5dzAaac3I.jpg
tt0092984	movie	Esto es un atraco	Esto es un atraco	0	1991	\N	90	Comedy	https://image.tmdb.org/t/p/{width_variable}/gvAJfhqbZqAoaN4hzA9htk8QWq3.jpg
tt0093061	movie	Funkytown	Funkytown	0	1998	\N	82	Documentary,Music	\N
tt0093081	movie	Geld	Geld	0	1990	\N	\N	\N	\N
tt0093210	movie	La hora 24	La hora 24	0	1990	\N	98	Drama,Fantasy	https://image.tmdb.org/t/p/{width_variable}/bbZ0KQvWK0dbwSVH69O8d1eRFXC.jpg
tt0093309	movie	The Ultimate Vampire	Jiang shi zhi zun	0	1991	\N	88	Comedy,Horror	https://image.tmdb.org/t/p/{width_variable}/30dEWag4exYaAygUtvpPwkKs8L4.jpg
tt0093508	movie	Material urbà	Material urbà	0	1990	\N	90	\N	https://image.tmdb.org/t/p/{width_variable}/8avvHHMQypyxFjl5C1sTSdjuCJK.jpg
tt0093572	movie	Moskovskaya elegiya	Moskovskaya elegiya	0	1990	\N	88	Documentary	https://image.tmdb.org/t/p/{width_variable}/bUraKkwSVleQ2nev9PDuPTDHhbs.jpg
tt0093989	movie	Slaughter in Xian	Xian sha lu	0	1990	\N	115	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/7Jj8ByloRYVHnvvGeF3jdfmhLuU.jpg
tt0094004	movie	Soldier of Fortune	Soldier of Fortune	0	1990	\N	\N	Action,Thriller,War	https://image.tmdb.org/t/p/{width_variable}/9IRxPfhOWnctIyC7ByqYZFC0aDu.jpg
tt0094376	movie	Middle Man	Huang jia shi jie zhi: Zhong jian ren	0	1990	\N	94	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/dLZG4fLZHe38zP1gv1kVwEtwK4j.jpg
tt0094609	movie	Das achte Gebot	Das achte Gebot	0	1991	\N	95	Documentary	https://image.tmdb.org/t/p/{width_variable}/wNhgB3HJgJctvaWchbivVrvhFYc.jpg
tt0094666	movie	Any Man's Death	Any Man's Death	0	1990	\N	108	Adventure,Drama,Thriller	https://image.tmdb.org/t/p/{width_variable}/rqXdQvWwi47Ddg6yckdTBqTrE4A.jpg
tt0094688	movie	Augen... Blicke	Augen... Blicke	0	1992	\N	77	\N	\N
tt0094841	movie	The House of Smiles	La casa del sorriso	0	1991	\N	110	Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/cBhYGT6qFEDZAtB8hEjPb1hzJAC.jpg
tt0094857	movie	Fatal Termination	Chi se da feng bao	0	1990	\N	89	Drama,Thriller	https://image.tmdb.org/t/p/{width_variable}/c6stRKsVwA6SJLaYCAdNncbatQ8.jpg
tt0094874	movie	The Figures from Earth	Chu tu qi bing	0	1990	\N	89	Fantasy	https://image.tmdb.org/t/p/{width_variable}/dFRUZcP9CUEBJCAw9PaQIvqx6Fz.jpg
tt0094900	movie	Committed	Committed	0	1991	\N	90	Drama,Thriller	https://image.tmdb.org/t/p/{width_variable}/zxQPHwFKLkERhSqHVRW4IFRgrTQ.jpg
tt0094926	movie	Curse of the Crystal Eye	Curse of the Crystal Eye	0	1991	\N	73	Action	https://image.tmdb.org/t/p/{width_variable}/iifZWNqYc1SSqYYULi5oOOrgTgr.jpg
tt0094997	movie	Demonia	Demonia	0	1990	\N	88	Horror,Mystery	https://image.tmdb.org/t/p/{width_variable}/oD86JcKm8PgfWzlAjDqTqJSf2S4.jpg
tt0095006	movie	Destroying Angel	Destroying Angel	0	1990	\N	98	Comedy	https://image.tmdb.org/t/p/{width_variable}/ffjwFsQulONVAbeHqc9U7Q22H7f.jpg
tt0095095	movie	Emperor of the Bronx	Emperor of the Bronx	0	1990	\N	104	Action,Crime	https://image.tmdb.org/t/p/{width_variable}/sVn079Hb0xs89frr13hfxKKytky.jpg
tt0095102	movie	Fallen Couple	Les ennemis de la mafia	0	1995	\N	87	Thriller	\N
tt0095111	movie	The Escape	El heroob	0	1991	\N	122	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/ffRje8mcFeapkyg8glUqEzG3Kqf.jpg
tt0095201	movie	Gaspard et fil$	Gaspard et fil$	0	1990	\N	\N	Comedy	https://image.tmdb.org/t/p/{width_variable}/oALbWuFdknUxHbccSrire1mfoDA.jpg
tt0095290	movie	Lethal Angels	Hei hai ba wang hua	0	1990	\N	91	Action	https://image.tmdb.org/t/p/{width_variable}/jJJnTmNlBmSXLDRNliWp2kwYbIv.jpg
tt0095335	movie	The Vengeance	Gun gun hong chun	0	1992	\N	87	Action	https://image.tmdb.org/t/p/{width_variable}/wimCi8k3ZyAaSXXFe0EcDXiVqpa.jpg
tt0095394	movie	Jericho	Jericó	0	1991	\N	90	Adventure,Drama	https://image.tmdb.org/t/p/{width_variable}/iWcz2qDDChLNTO9zpHFIPSVeTNv.jpg
tt0095450	movie	King of Chess	Qi wang	0	1991	\N	109	Drama	https://image.tmdb.org/t/p/{width_variable}/uwN8gymQqNDGe1QG6FNNiyfhq2Q.jpg
tt0095469	movie	King of Stanley Market	Ku jia tian xia	0	1998	\N	102	Comedy	https://image.tmdb.org/t/p/{width_variable}/o5G5Ij28ANfKt4ZQuuuDzrGX8Te.jpg
tt0095745	movie	Ninja Vengeance	Ninja Vengeance	0	1993	\N	87	Action,Drama	https://image.tmdb.org/t/p/{width_variable}/oQWVhPn9Pb7COlsInXyjqh1YKOL.jpg
tt0095761	movie	La nuit de l'océan	La nuit de l'océan	0	1992	\N	85	Drama	https://image.tmdb.org/t/p/{width_variable}/2rI2XvkgWF4FE08QtRSdibsmeiH.jpg
tt0095831	movie	Los pasos de Ana	Los pasos de Ana	0	1991	\N	90	\N	\N
tt0095840	movie	Payback	Payback	0	1990	\N	90	Action,Comedy,Crime	https://image.tmdb.org/t/p/{width_variable}/tx7etxtV5CIXIunWLUS6907rjog.jpg
tt0095902	movie	Primo Baby	Primo Baby	0	1990	\N	107	Adventure,Drama,Family	https://image.tmdb.org/t/p/{width_variable}/5dbDZUgT0WichCldsMYEdSG0dKS.jpg
tt0096025	movie	Sailors Don't Cry	Sailors Don't Cry	0	1990	\N	90	Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/ulFQhIbj8cH2MI8IrdjmWn8DbbO.jpg
tt0096038	movie	Saturday Night Special	Saturday Night Special	1	1992	\N	84	Adult	\N
tt0096075	movie	Sexpot	Sexpot	0	1990	\N	95	Comedy,Crime,Romance	https://image.tmdb.org/t/p/{width_variable}/c91rGGHbDDvpoWO5ypvBmn14N5Y.jpg
tt0096090	movie	Leung seung ching yuen	Leung seung ching yuen	0	1993	\N	87	Action,Romance	https://image.tmdb.org/t/p/{width_variable}/xtKNjFQYDWzXEoAuQwbvHNCVzEL.jpg
tt0096154	movie	Spies Inc.	Spies Inc.	0	1992	\N	93	Adventure,Comedy	https://image.tmdb.org/t/p/{width_variable}/rnNQAm082uMTdhq1aB8uxJjNS8s.jpg
tt0096174	movie	Stela	Stela	0	1990	\N	86	Drama	https://image.tmdb.org/t/p/{width_variable}/zfAP9kPA78PpNiC8vq09fRPmHAz.jpg
tt0096177	movie	Still Life: The Fine Art of Murder	Still Life	0	1990	\N	83	Crime,Drama,Mystery	https://image.tmdb.org/t/p/{width_variable}/z0rEB95nsynSWpxMyzLMNcFLTBR.jpg
tt0096222	movie	To Miss with Love	Tao xue wai zhuan	0	1992	\N	90	Comedy,Drama	https://image.tmdb.org/t/p/{width_variable}/AnNpiNIOOTfShfJIUIMErkC0hgT.jpg
tt0096346	movie	Der Untergang des goldenen Webstuhls	Der Untergang des goldenen Webstuhls	0	1993	\N	92	\N	\N
tt0096397	movie	Vita da cane	Vita da cane	0	1992	\N	111	\N	\N
tt0096405	movie	Vroom	Vroom	0	1990	\N	89	Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/65g8nATrSAjinT3hWCbdDv8VxxB.jpg
tt0096469	movie	Midnight Angel	Wu ye tian shi	0	1990	\N	90	Action,Drama	https://image.tmdb.org/t/p/{width_variable}/riitXDgst2c8EZRorOO81CxDCIV.jpg
tt0096500	movie	Zbabelec	Zbabelec	0	1990	\N	52	Crime,Drama	\N
tt0096513	movie	Outlaw Brothers	Jui gaai chak paak dong	0	1990	\N	97	Action,Crime,Thriller	https://image.tmdb.org/t/p/{width_variable}/4PJRTdfnw29tfMXDq2Ro25eRqrr.jpg
tt0096749	movie	Abatjour 2	Abatjour 2	1	1990	\N	100	Crime,Mystery,Romance	https://image.tmdb.org/t/p/{width_variable}/oA5faYjAPTu6lRx3kSRaicduOIg.jpg
tt0096752	movie	Abrahams Gold	Abrahams Gold	0	1990	\N	95	Drama	\N
tt0096763	movie	Adultery	Adultery	1	1990	\N	81	Adult,Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/fs8Mb1MS4fgHTRMBxy20Ihq0bct.jpg
tt0096767	movie	African Express	African Express	0	1990	\N	94	Action,Adventure	https://image.tmdb.org/t/p/{width_variable}/mncUXu7Vy3sdNddToizfCjMx5wN.jpg
tt0096775	movie	Agneekaal	Agneekaal	0	1990	\N	161	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/rfGwUdHv1swc5q0QMNS7qeSbbS2.jpg
tt0096780	movie	Das Alaska Syndrom	Das Alaska Syndrom	0	1992	\N	\N	Documentary	https://image.tmdb.org/t/p/{width_variable}/bDcdfN7ftVDHfD26ZxQMlrocoZX.jpg
tt0096786	movie	Alienator	Alienator	0	1990	\N	93	Action,Drama,Fantasy	https://image.tmdb.org/t/p/{width_variable}/3kem76xYVBDp1P8j8et545lwoAH.jpg
tt0096797	movie	Malù e l'amante	Malù e l'amante	0	1991	\N	104	Drama	https://image.tmdb.org/t/p/{width_variable}/w1V46IdsOonF19TTqRl6KgVGZTx.jpg
tt0096811	movie	Fatal Vacation	On lok jin cheung	0	1990	\N	96	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/5Qiiq88ynNvufkGUmTQ2Lc5Yejs.jpg
tt0096817	movie	Angels	Los ángeles	0	1990	\N	95	Action,Drama	https://image.tmdb.org/t/p/{width_variable}/xPlAUJMwwGccFxcDM0AltiiOpAp.jpg
tt0096825	movie	Any Time, Any Play	Any Time, Any Play	0	1990	\N	96	Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/T9YemQ1rEt6JIe4P0HTymC0gGq.jpg
tt0096830	movie	Aquí huele a muerto... (¡pues yo no he sido!)	Aquí huele a muerto... (¡pues yo no he sido!)	0	1990	\N	88	Comedy,Horror	https://image.tmdb.org/t/p/{width_variable}/fuB7IKCoJr0w3LG4BRiET5YoLbZ.jpg
tt0096837	movie	The Assassin	The Assassin	0	1990	\N	91	Action	https://image.tmdb.org/t/p/{width_variable}/dnZJ82cp148EZyOvlGevIembqnp.jpg
tt0096838	movie	L'assassina	L'assassina	0	1990	\N	90	Drama	\N
tt0096845	movie	Atlantic Rhapsody - 52 myndir úr Tórshavn	Atlantic Rhapsody - 52 myndir úr Tórshavn	0	1990	\N	80	Comedy,Drama	https://image.tmdb.org/t/p/{width_variable}/6Kd15R5fRF5rTB9DhDbOszMisCC.jpg
tt0096857	movie	L'Autrichienne	L'Autrichienne	0	1990	\N	98	Biography,Drama,History	https://image.tmdb.org/t/p/{width_variable}/ha1i7utOUooxiXPNYyv8hk7BH0d.jpg
tt0096858	movie	Avariya - doch menta	Avariya - doch menta	0	1990	\N	99	Drama	https://image.tmdb.org/t/p/{width_variable}/mdUqY03XbVgbCRiOozJbpfp8hei.jpg
tt0096859	movie	L'avaro	L'avaro	0	1990	\N	117	Comedy	https://image.tmdb.org/t/p/{width_variable}/oyZyiwgheW5IdbwZhaf0AvCSoI6.jpg
tt0096860	movie	Extraordinary Adventure of an Ordinary Papa	L'aventure extraordinaire d'un papa peu ordinaire	0	1990	\N	98	Adventure,Comedy	\N
tt0096871	movie	Baby Blood	Baby Blood	0	1990	\N	88	Horror	https://image.tmdb.org/t/p/{width_variable}/hSPq7k7rbxAH7KTVxRmy98OIsq7.jpg
tt0096875	movie	Catchfire	Catchfire	0	1990	\N	116	Action,Comedy,Crime	https://image.tmdb.org/t/p/{width_variable}/jHec0NYYhzlUE3CUyYnI70YNih.jpg
tt0096877	movie	Countdown to Esmeralda Bay	La bahía esmeralda	0	1990	\N	90	Action,Drama,War	https://image.tmdb.org/t/p/{width_variable}/gjnb09vzG4WV8BCer3viifKyO5g.jpg
tt0096879	movie	Bal na dworcu w Koluszkach	Bal na dworcu w Koluszkach	0	1990	\N	91	Comedy,Drama	https://image.tmdb.org/t/p/{width_variable}/o8Fsf4JZOOLCR3eMVG2rCUjYX7y.jpg
tt0096883	movie	Ballbuster	Ballbuster	0	1990	\N	\N	Action,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/biiucXyfUEdWqE8jqKkRlZ97TSR.jpg
tt0096899	movie	Bazar Viena	Bazar Viena	0	1990	\N	\N	\N	\N
tt0096910	movie	Ben Webster: The Brute and the Beautiful	Ben Webster: The Brute and the Beautiful	0	1990	\N	60	Documentary	\N
tt0096937	movie	Blagorodnyy razboynik Vladimir Dubrovskiy	Blagorodnyy razboynik Vladimir Dubrovskiy	0	1990	\N	104	Drama,History	https://image.tmdb.org/t/p/{width_variable}/5WNptw5CdQhcgDOi1Siv1EnBfZi.jpg
tt0096954	movie	Bloodmoon	Bloodmoon	0	1990	\N	100	Horror,Thriller	https://image.tmdb.org/t/p/{width_variable}/53kSkSWDgtw2X6bAdOD8nvvSZ2w.jpg
tt0096984	movie	Brodyachiy avtobus	Brodyachiy avtobus	0	1990	\N	98	Drama	https://image.tmdb.org/t/p/{width_variable}/yhbVS05SLyDXtiuBabLbzfWtP3S.jpg
tt0096992	movie	Bumazhnye glaza Prishvina	Bumazhnye glaza Prishvina	0	1990	\N	146	Drama	https://image.tmdb.org/t/p/{width_variable}/ox9e3YFFonuSmlTVc24hqghw1k8.jpg
tt0096995	movie	Burndown	Burndown	0	1990	\N	86	Thriller	https://image.tmdb.org/t/p/{width_variable}/lmLvUJQVO7z5x3y3qGyb59uKrXW.jpg
tt0097004	movie	Caged Fury	Caged Fury	0	1990	\N	95	Action	https://image.tmdb.org/t/p/{width_variable}/bkDD3t7z5mIOOb7WLDMieF9nVnL.jpg
tt0097049	movie	Chastnyy detektiv, ili operatsiya 'Kooperatsiya'	Chastnyy detektiv, ili operatsiya 'Kooperatsiya'	0	1990	\N	94	Comedy,Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/k2h2remN3OmtwtRvm20MbV6RlY1.jpg
tt0097062	movie	Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi	Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi	0	1990	\N	131	Comedy,Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/a3gpUtylwVqe7H0TaoxkF5dQxr2.jpg
tt0097066	movie	Citizen Tania	Citizen Tania	0	1997	\N	87	Crime,Drama	https://image.tmdb.org/t/p/{width_variable}/zwAi2WHeYK9KEFes2ra7jGqvQM9.jpg
tt0097079	movie	Cold Justice	Cold Justice	0	1991	\N	105	Drama	https://image.tmdb.org/t/p/{width_variable}/9QENFCzXJkFVYUJxZXrya3tW69O.jpg
tt0097106	movie	A Tale of Springtime	Conte de printemps	0	1990	\N	108	Comedy,Drama,Romance	https://image.tmdb.org/t/p/{width_variable}/bP2qpuzQPBBBJa4kOhvLvOOiASq.jpg
tt0097111	movie	Go to Work, Vagabond II	Vai Trabalhar, Vagabundo II	0	1991	\N	97	Comedy	https://image.tmdb.org/t/p/{width_variable}/tEwuW06aaDkWKqwRUFMI7TT61bS.jpg
tt0097115	movie	Courage Mountain	Courage Mountain	0	1990	\N	94	Adventure,Drama,Family	https://image.tmdb.org/t/p/{width_variable}/lzwvJ2zIH5QUG21NH7qyRtb1UVa.jpg
tt0097122	movie	Um Crime de Luxo	Um Crime de Luxo	0	1991	\N	87	Comedy,Crime,Romance	\N
