tconst	directors	writers
tt0096362	nm0386185,nm1011775	nm0366625,nm4054745,nm0386185,nm0469674,nm5934338
tt0096363	nm0386185,nm1011775	nm0366625,nm4054745,nm0386185,nm0469674,nm5934338
tt0096397	nm0509136	\N
tt0096405	nm0452319	nm0142179
tt0096469	nm0157392	nm0477269
tt0096500	nm3134982	nm0560943,nm3134982
tt0096513	nm0150894	nm1847973,nm0938944
tt0096749	nm0648839	nm0648839
tt0096752	nm0335825	nm0335825
tt0096763	nm0068871	nm0818881
tt0096767	nm0568797	nm0038436
tt0096775	nm0122216,nm0122217	nm1668048
tt0096780	nm0257739	nm0257739
tt0096781	nm0452319	nm0768488,nm0821262
tt0096786	nm0676248	nm0308602
tt0096797	nm0266735	nm0129962,nm0266735
tt0096811	nm0874676	nm0620609
tt0096817	nm0074213	nm0074213
tt0096825	nm0001090	nm0139410,nm0236915
tt0096830	nm0844541	nm0844541,nm1014200
tt0096837	nm0381489	nm2565655,nm0669756,nm0441859
tt0096838	nm0473957	nm0473957
tt0096845	nm0653073	nm0653073
tt0096857	nm0335133	nm0144888,nm0213696
tt0096858	nm0876488	nm0466614
tt0096859	nm0148970	nm0148970,nm0296658,nm0814242,nm0814773,nm0596942
tt0096860	nm0163227	nm0163227,nm0708084
tt0096864	nm0923571	nm0189610,nm0122900
tt0096871	nm0730156	nm0191328,nm0730156
tt0096875	nm0000454,nm0000647	nm0542928,nm0054171
tt0096877	nm0001238	nm0504243,nm0744555,nm0001238
tt0096879	nm0048060	nm0048060
tt0096883	nm0079729	nm0079729
tt0096899	nm0191183	nm0191183,nm0226417
tt0096910	nm0421904	nm0208086,nm0316251
tt0096937	nm0631674	nm0701090,nm0341936,nm0631662
tt0096954	nm0589893	nm0107386
tt0096975	nm0296962	\N
tt0096984	nm0451576	nm0451576,nm0713678
tt0096992	nm0644789	nm0644789
tt0096995	nm0020610	nm0059475,nm0172697,nm0829283
tt0097004	nm0031301	nm0031301
tt0097049	nm0301145	nm0301145,nm0409092,nm0901702
tt0097057	nm0848734	nm3072333
tt0097062	nm0813534	nm0813534
tt0097066	nm0416414,nm0678636	nm0678636
tt0097079	nm0338369	nm0338369
tt0097106	nm0006445	nm0006445
tt0097111	nm0142517	nm0051684,nm0182080,nm0423631
tt0097115	nm0500609	nm0111177,nm0111180,nm0916325
tt0097122	nm0783744	nm0783744
tt0097129	nm0004372	nm0752591,nm1721082
tt0097140	nm0833708,nm0401247	nm1571187
tt0097176	nm0089502	nm0089502
tt0097184	nm0699114	nm0047264,nm0680067,nm0871502
tt0097204	nm0178801	nm0178801
tt0097218	nm0578533	nm0578533
tt0097246	nm0414249	nm0296261,nm0414249
tt0097253	nm0532702	nm0097180,nm0532702
tt0097259	nm0817995	nm0490417
tt0097280	nm0246308	nm0246308
tt0097298	nm0666999	nm0666999,nm0000685,nm0467385
tt0097310	nm0648108	\N
tt0097318	nm0572132	nm0766676,nm0898375
tt0097324	nm0823280	nm0450551
tt0097339	nm0694411	nm0146955,nm0366829
tt0097346	nm0767697	nm0247861
tt0097348	nm0939275	nm0939275,nm0298662,nm2825769
tt0097362	nm0406349,nm1847770	nm9928038,nm1852137,nm0242086
tt0097365	nm0418486	nm0418486,nm0295817
tt0097394	nm0155587	nm0938944,nm0939147
tt0097399	nm0495525	nm0489597
tt0097405	nm0282214	nm0342003,nm0282214
tt0097416	nm0788171	nm0049400,nm0707366,nm0788171
tt0097436	nm0468007	nm0207551
tt0097451	nm0666685	nm0231602,nm0358353,nm0666685
tt0097475	nm0958183	nm0420528,nm0450082,nm0958183
tt0097479	nm0477933	nm0351357,nm0477933,nm0877805
tt0097505	nm0001090	nm0204427
tt0097506	nm0251243	nm0251243,nm0470844,nm0492969,nm0902539
tt0097509	nm0048735	nm0048735
tt0097516	nm0055988	nm0621518,nm0700130,nm0007136
tt0097519	nm0009376	nm0009376
tt0097525	nm0118345	nm0118345,nm0373494,nm0896856
tt0097535	nm0910979	nm0939236
tt0097542	nm0327805	nm0327805
tt0097550	nm0132392	nm0589037,nm0938708
tt0097558	nm0326450	nm0807364,nm0629298,nm0326450
tt0097559	\N	\N
tt0097566	nm0776049	nm1343447
tt0097571	nm0552830	nm1618242
tt0097573	nm0557789	nm0557789,nm0675072
tt0097578	nm0799595	nm0712035
tt0097585	nm0379445	nm0379445
tt0097615	nm0861292	nm0179672,nm0484230,nm0861292
tt0097619	nm0864775	nm4522402
tt0097631	nm0755197	nm0755197
tt0097638	nm0170504	nm0628805
tt0097644	nm0266138	nm0266138
tt0097655	nm0121166	nm0003694
tt0097666	nm0255912	nm0454060
tt0097668	nm0240439	nm0377919,nm0294618,nm0768489
tt0097683	nm0053022	nm0053022,nm5689539
tt0097697	nm0844226	nm0270851,nm0344662,nm0844226
tt0097720	nm0570730	nm0001465,nm0570730
tt0097726	nm0072993	nm0330576,nm0402434,nm0003309
tt0097738	nm0119653	nm0119653
tt0097743	nm0033081	nm0033081,nm1130050
tt0097748	nm0291298	\N
tt0097765	nm0304046	nm0304046,nm2885919
tt0097769	nm0923802	nm0930748
tt0097775	nm0007139	nm0442983,nm0490622,nm0007139
tt0097783	nm0569429,nm0801625	nm0569429,nm0801625
tt0097802	nm0010383	nm0010383,nm0038235
tt0097803	nm0405578	nm0405578,nm0812827
tt0097820	nm0332647	nm0332647,nm0584770
tt0097822	nm0737604	nm0809732
tt0097833	nm0686136	nm0686136
tt0097848	nm0659368	nm0659368,nm0331003
tt0097849	nm0452002	nm0901668
tt0097850	nm0410478	nm0410478
tt0097851	nm0329715	nm0059775,nm0329715
tt0097853	nm0302785	nm0302785,nm0412867
tt0097855	nm0833721	nm3834637,nm1500607
tt0097863	nm0400133	nm0145935,nm0823500
tt0097864	nm0504941	nm4390701
tt0097874	nm0247642	nm0247642
tt0097875	nm0598408	nm0073488,nm0598408
tt0097884	nm0001501	nm0001501,nm0140643
tt0097893	nm0159402	nm0099384,nm0159402,nm0608775
tt0097894	nm0712577	nm0712577
tt0097910	nm0000386	nm0382166,nm0248082,nm0000386,nm0593634
tt0097912	nm0670757	nm0013455,nm0670757,nm1343309
tt0097919	nm0387853	nm0387853,nm0770640,nm1297788
tt0097924	nm0874096	nm0874096
tt0097925	nm0554880	nm0554880
tt0097928	nm3164805	nm3164805
tt0097949	nm0462899	\N
tt0097966	nm0701000	nm0000636,nm0701000
tt0097968	nm0464092	nm0398518,nm0639306
tt0097970	nm0595618	nm0595618
tt0097979	nm0217134	\N
tt0097984	nm0151653	nm0151653
tt0098004	nm0541094	nm0698003
tt0098018	nm0910904	nm0862783,nm3237960,nm1253789
tt0098021	nm0602454	nm0336957
tt0098030	nm0648900	nm0648900,nm0759137
tt0098043	nm0163990	nm0686869,nm0486689
tt0098050	nm0140327	nm0140327
tt0098063	nm0000972	nm0000972,nm0165987,nm0953301
tt0098064	nm0654839	nm0654839
tt0098070	nm0813177	nm0142667,nm0667657,nm0125657,nm0223855,nm0895059
tt0098077	nm0306551	nm0547425
tt0098100	nm0160540	nm0160540
tt0098136	nm0646987,nm0801157	nm0646987
tt0098139	nm0691908	nm2766718,nm0691908,nm0764001
tt0098144	nm0336076	nm0264705,nm0336076,nm0379586,nm11330682,nm0891396,nm0895954
tt0098150	nm0876600	nm0874683,nm3803448
tt0098172	nm0819701	nm0711877,nm0038436
tt0098181	nm0902339	nm0527620,nm0902339
tt0098182	nm0198017	\N
tt0098199	nm0839233	nm0161823
tt0098211	nm0360766,nm0541654	nm0360766,nm0541654
tt0098244	nm0921631	nm0208370,nm0478431,nm0921631
tt0098256	nm0554580	nm1720870,nm0554580
tt0098267	nm0118345,nm0373494	\N
tt0098278	nm0900143	nm0166405,nm0751721,nm0900143
tt0098294	nm0524516	nm0076914,nm0524516,nm0664760
tt0098318	nm0626864	nm5666124,nm0626864,nm2947401
tt0098344	nm0453238	nm0453238,nm0790323
tt0098372	nm0172181	nm0172181,nm2157186
tt0098377	nm4979187	nm0662956
tt0098392	nm0349654	nm0349654
tt0098405	nm0157696	nm0314044
tt0098422	nm0139584	nm0799641
tt0098426	nm0379797	nm0201187,nm1330709,nm0586743,nm0626134
tt0098429	nm0654839	nm0654839
tt0098431	nm0619321	\N
tt0098461	nm0802692	nm0795664
tt0098462	nm0222562	nm0021012,nm0893235,nm0682215
tt0098486	nm0125367	nm0125367,nm0734585
tt0098488	nm0037868	nm0037868,nm0150057,nm0879406,nm0325530
tt0098495	nm0125461	nm0125461,nm0813215
tt0098514	nm0147389	nm0147389,nm0155009,nm0756656
tt0098531	nm0652225	nm0652225
tt0098532	nm0442454	nm0442454
tt0098534	nm0886789	nm0018839,nm0886789
tt0098542	nm1014475	nm1072419
tt0098548	nm0412838	nm0038298,nm0412838
tt0098553	nm0373911	nm0450551
tt0098561	nm0894074	nm0199517,nm0894074
tt0098576	nm1011775,nm0386185	nm0366625,nm4054745,nm0386185,nm0469674,nm5934338
tt0098584	nm0230695	nm0230695,nm0333069,nm0234502
tt0098588	nm0246222	nm0246222,nm0416030,nm0776465
tt0098606	nm0000019	nm0147004,nm0000019,nm0684083
tt0098629	nm0542524	nm0542524,nm0811840
tt0098634	nm0393031	nm0393031
tt0098656	nm0535323	nm0535323
tt0098657	nm0778338	nm0778338,nm0834638
tt0098658	nm0903796	nm0462319,nm0903796
tt0098707	nm0151060	nm0151068,nm0159584
tt0098755	nm0953508	nm0953508
tt0098920	nm0536464	nm0536464,nm1992055
tt0098958	nm0613634	nm0234547
tt0098959	nm0666498	nm0370347
tt0098961	nm0003606	nm0003606,nm0867374
tt0098962	nm0372421	nm0006809,nm0372421,nm0526981
tt0098963	nm0573427	nm0416970,nm0494982,nm0573427
tt0098965	nm0022581	nm0411930
tt0098966	nm0001915	nm0785684,nm0663490,nm0569210,nm0676361
tt0098967	nm0001429	nm0001429
tt0098970	nm0133357	nm0246503,nm8870440,nm0559120
tt0098972	nm0411631	nm0411631
tt0098974	nm0902823	\N
tt0098975	nm0315889	nm0592886
tt0098976	nm0092555	nm0765454,nm0890864
tt0098977	nm0712479	nm0359096,nm0707952,nm0712479
tt0098978	nm0521284	nm0065304,nm0521284,nm2438709
tt0098979	nm0541249	\N
tt0098980	nm0514226	nm0073496,nm0514226,nm0758610
tt0098981	nm0618425	nm0618425
tt0098985	nm0516435	nm0516435
tt0098986	nm0039759,nm0093606,nm0233718,nm0399875,nm0534550,nm0685040,nm0730156	nm1322322,nm0233718,nm0534550,nm0685040,nm0730156,nm1267240,nm1324564
tt0098987	nm0001317	nm0914058,nm0135470,nm0036714,nm0918266
tt0098988	nm0793519	nm0685515,nm0696203
tt0098989	nm0902823	nm0248231,nm0399372,nm0902823
tt0098990	nm0097541	nm1135391,nm0156154,nm0503953,nm1140287
tt0098991	nm0903137	nm0903137
tt0098992	nm0065496	nm0065496
tt0098993	nm0297202	\N
tt0098994	nm0001226	nm0860292,nm0714977,nm0001226
tt0098996	nm0364688	nm0822066
tt0098997	nm0468007	\N
tt0098998	nm0544863	nm0355990,nm0544863,nm0715877
tt0098999	nm0002172	nm2832163,nm0434318,nm0765454
tt0099000	nm0492309	nm0284559
tt0099001	nm0864775	nm0864775,nm0906413
tt0099003	nm0416819	nm0382505
tt0099004	nm0096149	nm0806056
tt0099005	nm0006854	nm0730313,nm0260675,nm0750701
tt0099006	nm0136603	\N
tt0099007	nm3985732	nm3985732
tt0099008	nm0556255	nm0556255
tt0099009	nm0423645	nm0072306,nm0082406,nm0423645
tt0099011	nm0198786	nm0547739
tt0099012	nm0000095	nm0000095
tt0099013	nm0928907	nm0214172,nm0928907
tt0099014	nm0430927	nm0430927
tt0099015	nm0750201	nm0750201
tt0099017	nm0271057	nm0271057
tt0099018	nm0180257	nm0001357
tt0099019	nm0608232	nm0608232
tt0099023	nm0006357	\N
tt0099024	nm0298723	nm0298723,nm0446967,nm0775338
tt0099025	nm0474839	\N
tt0099026	nm0169540	nm0169540
tt0099027	nm0765384	nm7977455,nm0749914,nm0765384
tt0099028	nm0465932,nm0135199,nm0359735,nm0798023	\N
tt0099029	nm0879513	nm0878408,nm0879513
tt0099031	nm0511730	\N
tt0099032	nm0397986	nm7548856
tt0099033	nm0670670	\N
tt0099034	nm0268999	nm0268999
tt0099035	nm0511730	nm0232824
tt0099037	nm0718217	nm0573645
tt0099038	nm0864504	nm0889564
tt0099039	nm0440171	nm0913027
tt0099058	nm0511730	nm0511730
tt0099060	nm0232795	nm0018648,nm0095793,nm0208172
tt0099096	nm0233286	\N
tt0099102	nm0632311,nm0170407	nm0170407
tt0099105	nm0451799	\N
tt0099115	nm0474119	nm0474119
tt0099139	nm0703400	nm0610154
tt0099147	nm0775940	\N
tt0099158	nm0123785	nm0616880
tt0099217	nm0035106	nm0003994,nm0586965,nm0505662
tt0099279	nm0792120	nm0697157
tt0099370	nm0002087	nm0002087,nm0383604,nm0485713
tt0099383	nm0164196	nm0287046,nm0809424
tt0099427	nm0226290,nm0955055	nm0450551
tt0099457	nm0092372	nm0313274,nm0092372,nm0778593
tt0099526	nm0339264	nm0501380,nm0367895
tt0099530	nm0144758	nm0144758
tt0099542	nm0578162	nm0546746
tt0099580	nm0410769	nm0082677,nm0210290,nm1189346,nm1764901,nm1189825,nm0408639
tt0099661	nm0000473	nm0200658
tt0099727	nm0115185,nm0000177	nm0000636
tt0099744	nm0369251	nm0169334,nm3710864,nm0837657
tt0099745	nm0767054	nm0098918,nm3206228
tt0099746	nm0837657	nm0082582,nm0003798
tt0099781	nm0085457	nm0130040,nm0626922
tt0099811	nm0463926	nm0526967,nm0625782
tt0099835	nm0267064	nm0092267,nm0487150,nm0092268,nm0748257
tt0099851	nm0487567	nm0487567
tt0099952	nm0694341	nm0931388
tt0099971	nm0492722	nm0190930
tt0099992	nm0080943	nm0080943
tt0100155	nm0934508	nm0193170
tt0100216	nm0222319	nm0002005,nm0264088
tt0100255	nm0817811	nm0790503
tt0100316	nm0561879	nm0069410,nm0153546,nm0158219,nm0512894,nm0639787
tt0100370	nm0076679	nm1386736,nm0878095
tt0100406	nm0165965	nm0287046,nm0809424
tt0100439	nm0426183	nm0203786,nm0696506,nm0719334
tt0100474	nm0092380	nm0041438,nm0739969,nm0754847
tt0100482	nm0196797,nm0253727	nm0187994,nm0193170
tt0100492	nm0389263	nm0389263
tt0100578	nm0427880	nm0000807,nm0625695
tt0100580	nm0204209	nm0447461
tt0100642	nm0926688	nm1208791
tt0100658	nm0426183	nm0414226,nm0203786,nm0719334
tt0100664	nm0659454	nm1147788,nm0479351
tt0100710	nm0955195	nm0383604,nm3051415,nm0955195
tt0100718	nm0002573,nm0918873	nm0367895
tt0100724	nm0810200	nm0640185
tt0100748	nm0089777	nm0080981,nm0773320
tt0100749	nm0250914	nm0127137,nm0250914,nm0551882,nm0796749,nm0893882
tt0100750	nm0832419	nm0386626
tt0100751	nm0317413	nm0317413
tt0100752	nm0432501	nm0956975
tt0100753	nm0771942	nm0771942
tt0100754	nm0473151	nm0473151,nm0902283,nm0331498,nm0826076
tt0100755	nm0034776	nm0618124
tt0100770	nm0006841	nm0336957
tt0100818	nm0934508	nm0545690
tt0100900	nm0385091,nm0180644	nm0180644
tt0100948	nm0769135	nm0792490
tt0100953	nm0401461	nm0393495
tt0101095	nm0000877	nm0577362,nm0739744
tt0101179	nm0211643	nm0208086
tt0101246	nm0006841	nm0003141
tt0101271	nm0287821	nm0905547,nm0253652
tt0101274	nm0001352	nm0606328,nm0331453,nm0384484,nm0767124,nm0281326
tt0101300	nm0950000	nm0039185
tt0101358	nm0452319	nm0434669
tt0101443	nm0406134	nm0351439
tt0101480	nm0685673	nm0392694
tt0101655	nm0949645	\N
tt0101729	nm0002910	nm0128052,nm0179855,nm0896479
tt0101750	nm0856827	nm0406585,nm0863867
tt0101835	nm0144758	nm0144758,nm0604304,nm0669968,nm0739744
tt0101836	nm0144758	nm0053716,nm0604304,nm0669968
tt0101837	nm0144758	nm0053716,nm0604304,nm0669968
tt0101838	nm0144758	nm0144758
tt0101840	nm0144758	nm0144758,nm0209906
tt0101894	nm0234462	nm0523052
tt0101915	nm0373453	nm0588648
tt0101971	nm0115185,nm0301715	nm0301715,nm0825705
tt0101972	nm0533564	nm0213234,nm4524359
tt0102012	nm0002376	nm0002376
tt0102111	nm0642823	nm0605982
tt0102199	nm0277439	\N
tt0102255	nm0076679	nm0076679,nm0878095
tt0102276	nm0324995	nm0931388
tt0102281	nm0323795	nm9093983
tt0102337	\N	\N
tt0102378	nm0330848	nm0330848,nm0799442
tt0102379	nm0684226	nm0181210,nm0799442
tt0102416	nm0358759	nm0666875,nm0236279
tt0102424	nm0375451	nm0719334,nm0077654,nm0203786
tt0102474	nm0331964	nm0932477,nm0331964,nm0302904
tt0102501	nm0369359	nm0293801
tt0102502	nm0258917	nm0293801
tt0102547	nm0349222	nm0106937
tt0102621	nm6524380	nm0002445,nm0488991
tt0102643	nm0375469	nm0539400,nm0882683,nm0915089
tt0102644	nm0883609	nm0883609
tt0102711	nm0923675	nm0083320
tt0102769	nm0349222	nm0106937
tt0102786	nm0326450	\N
tt0102787	nm0326450	\N
tt0102856	nm0389373	nm0553323
tt0102857	nm0583800	nm0576634
tt0102863	nm0086295	nm0203577
tt0102925	nm0154324	nm0154324
tt0103020	nm0416176	nm0003218,nm0867682
tt0103046	nm0317411	nm0351473,nm0921847
tt0103047	nm0461170	nm0034312,nm0003670
tt0103048	nm0444936	nm0351357
tt0103049	nm0389373	nm0667083,nm0344509
tt0103050	nm0633950	nm0633950,nm0381586,nm0258995
tt0103051	nm0633950	nm0710755,nm0956975
tt0103052	nm0738056	nm0081268
tt0103053	nm0389386	nm0246308,nm0389386
tt0103054	nm0389373	nm0186525,nm0921847
tt0103062	nm0531640	nm0388130
tt0103071	nm0297502	nm0331498,nm0902283
tt0103145	nm0247089	nm0823451
tt0103149	nm0530689	nm0530689
